round_epochs,val_loss,val_categorical_accuracy,val_fbeta_score,val_fmeasure,loss,categorical_accuracy,fbeta_score,fmeasure,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,weight_regulizer,emb_output_dims,optimizer,losses,activation
200,2.283705949783325,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.28421419858932495,0.15873013223920548,0.0001,4,4,4,200,0.0,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function tanh at 0x000002311C277400>
100,2.257000207901001,0.0,0.0,0.0,2.1808449029922485,1.0,0.4006748880658831,0.22745823008673532,0.0001,128,4,3,100,0.16,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
100,2.2231054306030273,0.0,0.0,0.0,2.1903790065220425,0.7857142857142857,0.46778861965451923,0.27539011410304476,0.0001,8,2,4,100,0.0,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
300,2.604048013687134,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.39389980477946146,0.21461351375494683,0.0001,128,4,3,300,0.0,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
300,2.606630802154541,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.39497130044869017,0.21522759646177292,0.0001,128,3,3,300,0.2,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function tanh at 0x000002311C277400>
100,2.1915438175201416,0.0,0.0,0.0,2.1995255947113037,0.9285714030265808,0.1149425134062767,0.0645160973072052,0.0001,4,2,32,100,0.16,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
300,2.191859722137451,0.0,0.0,0.0,0.0006312718614935875,1.0,0.36269429326057434,0.1728394627571106,0.0001,64,5,16,300,0.0,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function tanh at 0x000002311C277400>
100,2.2332305908203125,0.0,0.0,0.0,2.189496942928859,1.0,0.3606442553656442,0.22142854545797622,0.0001,64,3,3,100,0.08,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
200,2.214576482772827,0.0,0.0,0.0,2.186279739652361,0.571428582072258,0.5492846518754959,0.2865982417549406,0.0001,8,3,3,200,0.16,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
200,2.25644850730896,0.0,0.0,0.0,2.1737071446010043,1.0,0.5393939443996975,0.3333332964352199,0.0001,16,5,4,200,0.28,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
300,2.192307472229004,0.0,0.0,0.0,2.195721387863159,0.8571428656578064,0.3954801857471466,0.2153845876455307,0.0001,128,6,16,300,0.24,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
300,2.2150886058807373,0.0,0.0,0.0,2.1850028038024902,1.0,0.3084415708269392,0.20238092754568374,0.0001,16,3,2,300,0.04,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
300,2.4724254608154297,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.4033041553837912,0.2296918502875737,0.0001,4,3,4,300,0.2,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function tanh at 0x000002311C277400>
